							pc	bp	sp	stack
Initial values				0	1	0	0
0	JMP		0	10			10	1	0	0 0 0 0 0 
10	INC		0	5			11	1	5	0 0 0 0 0 
11	LIT		0	3			12	1	6	0 0 0 0 0 3 
12	STO		0	3			13	1	5	0 0 0 3 0 
13	LIT		0	0			14	1	6	0 0 0 3 0 0 
14	STO		0	4			15	1	5	0 0 0 3 0 
15	CAL		0	2			2	6	5	0 0 0 3 0 1 1 16 
2	INC		0	5			3	6	10	0 0 0 3 0 1 1 16 0 0 
3	LIT		0	13			4	6	11	0 0 0 3 0 1 1 16 0 0 13 
4	STO		0	3			5	6	10	0 0 0 3 0 1 1 16 13 0 
5	LIT		0	1			6	6	11	0 0 0 3 0 1 1 16 13 0 1 
6	STO		1	3			7	6	10	0 0 0 1 0 1 1 16 13 0 
7	LIT		0	7			8	6	11	0 0 0 1 0 1 1 16 13 0 7 
8	STO		0	4			9	6	10	0 0 0 1 0 1 1 16 13 7 
9	OPR		0	0			16	1	5	0 0 0 1 0 
16	OPR		0	0			0	0	0	
